Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.4-ary.((x * y) * z) * w.transformers,1591714,87196,3064,0,35651584
All.4-ary.((x * y) * z) * w.ad,2617230,237500,4857,0,35651584
All.4-ary.((x * y) * z) * w.ad/double,2614281,211612,4881,0,35651584
All.4-ary.((x * y) * z) * w.backprop,3051500,213004,8890,0,35651584
All.4-ary.((x * y) * z) * w.primops,392547,27284,1016,0,35651584
All.4-ary.((x * y) * z) * w.primops/double,259824,12322,1067,0,35651584
